graph,order,size,time,iterations,error,technique,skip_chains,chain_vertices,chains
"min-1DeadEnd","5","6","0.64","17","0","pagerankCuda","0","0","0"
"min-1DeadEnd","5","6","0.672","17","0","pagerankCuda","2","0","0"
"min-1DeadEnd","5","6","0.678","17","0","pagerankCuda","4","0","0"
"min-1DeadEnd","5","6","0.643","17","0","pagerankCuda","8","0","0"
"min-1DeadEnd","5","6","0.649","17","0","pagerankCuda","16","0","0"
"min-1DeadEnd","5","6","0.643","17","0","pagerankCuda","32","0","0"
"min-1DeadEnd","5","6","0.666","17","0","pagerankCuda","64","0","0"
"min-1DeadEnd","5","6","0.688","17","0","pagerankCuda","128","0","0"
"min-1DeadEnd","5","6","0.663","17","0","pagerankCuda","256","0","0"
"min-2SCC","8","12","1.413","40","0","pagerankCuda","0","0","0"
"min-2SCC","8","12","1.459","40","7.4506e-9","pagerankCuda","2","2","1"
"min-2SCC","8","12","1.462","40","0","pagerankCuda","4","0","0"
"min-2SCC","8","12","1.484","40","0","pagerankCuda","8","0","0"
"min-2SCC","8","12","1.482","40","0","pagerankCuda","16","0","0"
"min-2SCC","8","12","1.488","40","0","pagerankCuda","32","0","0"
"min-2SCC","8","12","1.456","40","0","pagerankCuda","64","0","0"
"min-2SCC","8","12","1.459","40","0","pagerankCuda","128","0","0"
"min-2SCC","8","12","1.461","40","0","pagerankCuda","256","0","0"
"min-4SCC","21","35","1.515","45","0","pagerankCuda","0","0","0"
"min-4SCC","21","35","1.734","45","2.2352e-8","pagerankCuda","2","6","3"
"min-4SCC","21","35","1.517","45","0","pagerankCuda","4","0","0"
"min-4SCC","21","35","1.538","45","0","pagerankCuda","8","0","0"
"min-4SCC","21","35","1.473","45","0","pagerankCuda","16","0","0"
"min-4SCC","21","35","1.562","45","0","pagerankCuda","32","0","0"
"min-4SCC","21","35","1.562","45","0","pagerankCuda","64","0","0"
"min-4SCC","21","35","1.588","45","0","pagerankCuda","128","0","0"
"min-4SCC","21","35","1.577","45","0","pagerankCuda","256","0","0"
"min-NvgraphEx","6","10","0.913","24","0","pagerankCuda","0","0","0"
"min-NvgraphEx","6","10","0.954","24","0","pagerankCuda","2","0","0"
"min-NvgraphEx","6","10","0.941","24","0","pagerankCuda","4","0","0"
"min-NvgraphEx","6","10","0.928","24","0","pagerankCuda","8","0","0"
"min-NvgraphEx","6","10","0.958","24","0","pagerankCuda","16","0","0"
"min-NvgraphEx","6","10","0.957","24","0","pagerankCuda","32","0","0"
"min-NvgraphEx","6","10","0.931","24","0","pagerankCuda","64","0","0"
"min-NvgraphEx","6","10","0.925","24","0","pagerankCuda","128","0","0"
"min-NvgraphEx","6","10","0.936","24","0","pagerankCuda","256","0","0"
"web-Stanford","281903","2312497","11.371","63","0","pagerankCuda","0","0","0"
"web-Stanford","281903","2312497","11.726","63","2.5968e-9","pagerankCuda","2","1265","575"
"web-Stanford","281903","2312497","11.673","63","9.5497e-12","pagerankCuda","4","51","2"
"web-Stanford","281903","2312497","11.697","63","9.5497e-12","pagerankCuda","8","51","2"
"web-Stanford","281903","2312497","11.992","63","9.5497e-12","pagerankCuda","16","51","2"
"web-Stanford","281903","2312497","11.948","63","7.5033e-12","pagerankCuda","32","34","1"
"web-Stanford","281903","2312497","11.873","63","0","pagerankCuda","64","0","0"
"web-Stanford","281903","2312497","11.86","63","0","pagerankCuda","128","0","0"
"web-Stanford","281903","2312497","11.853","63","0","pagerankCuda","256","0","0"
"web-BerkStan","685230","7600595","22.952","64","0","pagerankCuda","0","0","0"
"web-BerkStan","685230","7600595","22.468","64","3.8028e-9","pagerankCuda","2","3045","1319"
"web-BerkStan","685230","7600595","22.333","64","2.0979e-9","pagerankCuda","4","266","24"
"web-BerkStan","685230","7600595","22.298","64","1.3598e-9","pagerankCuda","8","197","10"
"web-BerkStan","685230","7600595","22.318","64","9.957e-10","pagerankCuda","16","142","5"
"web-BerkStan","685230","7600595","22.284","64","8.157e-12","pagerankCuda","32","54","1"
"web-BerkStan","685230","7600595","22.269","64","0","pagerankCuda","64","0","0"
"web-BerkStan","685230","7600595","22.28","64","0","pagerankCuda","128","0","0"
"web-BerkStan","685230","7600595","22.279","64","0","pagerankCuda","256","0","0"
"web-Google","916428","5105039","13.174","62","0","pagerankCuda","0","0","0"
"web-Google","916428","5105039","13.909","62","1.7485e-9","pagerankCuda","2","2747","1330"
"web-Google","916428","5105039","13.787","62","2.3289e-10","pagerankCuda","4","22","4"
"web-Google","916428","5105039","13.791","62","1.8463e-10","pagerankCuda","8","9","1"
"web-Google","916428","5105039","13.728","62","0","pagerankCuda","16","0","0"
"web-Google","916428","5105039","13.708","62","0","pagerankCuda","32","0","0"
"web-Google","916428","5105039","13.732","62","0","pagerankCuda","64","0","0"
"web-Google","916428","5105039","13.693","62","0","pagerankCuda","128","0","0"
"web-Google","916428","5105039","13.695","62","0","pagerankCuda","256","0","0"
"web-NotreDame","325729","1497134","6.12","58","0","pagerankCuda","0","0","0"
"web-NotreDame","325729","1497134","6.449","58","6.6865e-9","pagerankCuda","2","982","491"
"web-NotreDame","325729","1497134","6.435","58","6.5628e-9","pagerankCuda","4","0","0"
"web-NotreDame","325729","1497134","6.425","58","9.5116e-9","pagerankCuda","8","0","0"
"web-NotreDame","325729","1497134","6.441","58","9.5116e-9","pagerankCuda","16","0","0"
"web-NotreDame","325729","1497134","6.317","58","0","pagerankCuda","32","0","0"
"web-NotreDame","325729","1497134","6.358","58","0","pagerankCuda","64","0","0"
"web-NotreDame","325729","1497134","6.351","58","0","pagerankCuda","128","0","0"
"web-NotreDame","325729","1497134","6.351","58","0","pagerankCuda","256","0","0"
"soc-Slashdot0811","77360","905468","3.455","55","0","pagerankCuda","0","0","0"
"soc-Slashdot0811","77360","905468","3.611","55","0","pagerankCuda","2","0","0"
"soc-Slashdot0811","77360","905468","3.606","55","0","pagerankCuda","4","0","0"
"soc-Slashdot0811","77360","905468","3.621","55","0","pagerankCuda","8","0","0"
"soc-Slashdot0811","77360","905468","3.617","55","0","pagerankCuda","16","0","0"
"soc-Slashdot0811","77360","905468","3.614","55","0","pagerankCuda","32","0","0"
"soc-Slashdot0811","77360","905468","3.622","55","0","pagerankCuda","64","0","0"
"soc-Slashdot0811","77360","905468","3.604","55","0","pagerankCuda","128","0","0"
"soc-Slashdot0811","77360","905468","3.605","55","0","pagerankCuda","256","0","0"
"soc-Slashdot0902","82168","948464","3.513","56","0","pagerankCuda","0","0","0"
"soc-Slashdot0902","82168","948464","3.711","56","0","pagerankCuda","2","0","0"
"soc-Slashdot0902","82168","948464","3.72","56","0","pagerankCuda","4","0","0"
"soc-Slashdot0902","82168","948464","3.693","56","0","pagerankCuda","8","0","0"
"soc-Slashdot0902","82168","948464","3.7","56","0","pagerankCuda","16","0","0"
"soc-Slashdot0902","82168","948464","3.693","56","0","pagerankCuda","32","0","0"
"soc-Slashdot0902","82168","948464","3.706","56","0","pagerankCuda","64","0","0"
"soc-Slashdot0902","82168","948464","3.689","56","0","pagerankCuda","128","0","0"
"soc-Slashdot0902","82168","948464","3.701","56","0","pagerankCuda","256","0","0"
"soc-Epinions1","75888","508837","3.179","54","0","pagerankCuda","0","0","0"
"soc-Epinions1","75888","508837","3.535","54","3.9386e-9","pagerankCuda","2","1112","554"
"soc-Epinions1","75888","508837","3.48","54","0","pagerankCuda","4","0","0"
"soc-Epinions1","75888","508837","3.486","54","0","pagerankCuda","8","0","0"
"soc-Epinions1","75888","508837","3.487","54","0","pagerankCuda","16","0","0"
"soc-Epinions1","75888","508837","3.44","54","0","pagerankCuda","32","0","0"
"soc-Epinions1","75888","508837","3.465","54","0","pagerankCuda","64","0","0"
"soc-Epinions1","75888","508837","3.48","54","0","pagerankCuda","128","0","0"
"soc-Epinions1","75888","508837","3.483","54","0","pagerankCuda","256","0","0"
"coAuthorsDBLP","299067","1955352","3.565","45","0","pagerankCuda","0","0","0"
"coAuthorsDBLP","299067","1955352","3.826","45","0","pagerankCuda","2","0","0"
"coAuthorsDBLP","299067","1955352","3.836","45","0","pagerankCuda","4","0","0"
"coAuthorsDBLP","299067","1955352","3.832","45","0","pagerankCuda","8","0","0"
"coAuthorsDBLP","299067","1955352","3.832","45","0","pagerankCuda","16","0","0"
"coAuthorsDBLP","299067","1955352","3.83","45","0","pagerankCuda","32","0","0"
"coAuthorsDBLP","299067","1955352","3.838","45","0","pagerankCuda","64","0","0"
"coAuthorsDBLP","299067","1955352","3.821","45","0","pagerankCuda","128","0","0"
"coAuthorsDBLP","299067","1955352","3.85","45","0","pagerankCuda","256","0","0"
"coAuthorsCiteseer","227320","1628268","3.694","48","0","pagerankCuda","0","0","0"
"coAuthorsCiteseer","227320","1628268","3.805","48","0","pagerankCuda","2","0","0"
"coAuthorsCiteseer","227320","1628268","3.827","48","0","pagerankCuda","4","0","0"
"coAuthorsCiteseer","227320","1628268","3.829","48","0","pagerankCuda","8","0","0"
"coAuthorsCiteseer","227320","1628268","3.805","48","0","pagerankCuda","16","0","0"
"coAuthorsCiteseer","227320","1628268","3.79","48","0","pagerankCuda","32","0","0"
"coAuthorsCiteseer","227320","1628268","3.803","48","0","pagerankCuda","64","0","0"
"coAuthorsCiteseer","227320","1628268","3.867","48","0","pagerankCuda","128","0","0"
"coAuthorsCiteseer","227320","1628268","3.881","48","0","pagerankCuda","256","0","0"
"soc-LiveJournal1","4847571","68993773","157.95","51","0","pagerankCuda","0","0","0"
"soc-LiveJournal1","4847571","68993773","160.251","51","3.9981e-9","pagerankCuda","2","15182","7435"
"soc-LiveJournal1","4847571","68993773","158.98","51","0","pagerankCuda","4","8","2"
"soc-LiveJournal1","4847571","68993773","159.28","51","0","pagerankCuda","8","0","0"
"soc-LiveJournal1","4847571","68993773","158.992","51","0","pagerankCuda","16","0","0"
"soc-LiveJournal1","4847571","68993773","158.958","51","0","pagerankCuda","32","0","0"
"soc-LiveJournal1","4847571","68993773","159.059","51","0","pagerankCuda","64","0","0"
"soc-LiveJournal1","4847571","68993773","159.376","51","0","pagerankCuda","128","0","0"
"soc-LiveJournal1","4847571","68993773","158.963","51","0","pagerankCuda","256","0","0"
"coPapersCiteseer","434102","32073440","36.482","51","0","pagerankCuda","0","0","0"
"coPapersCiteseer","434102","32073440","36.714","51","0","pagerankCuda","2","0","0"
"coPapersCiteseer","434102","32073440","36.712","51","0","pagerankCuda","4","0","0"
"coPapersCiteseer","434102","32073440","36.699","51","0","pagerankCuda","8","0","0"
"coPapersCiteseer","434102","32073440","36.698","51","0","pagerankCuda","16","0","0"
"coPapersCiteseer","434102","32073440","36.702","51","0","pagerankCuda","32","0","0"
"coPapersCiteseer","434102","32073440","36.694","51","0","pagerankCuda","64","0","0"
"coPapersCiteseer","434102","32073440","36.706","51","0","pagerankCuda","128","0","0"
"coPapersCiteseer","434102","32073440","36.719","51","0","pagerankCuda","256","0","0"
"coPapersDBLP","540486","30491458","40.588","49","0","pagerankCuda","0","0","0"
"coPapersDBLP","540486","30491458","38.18","49","0","pagerankCuda","2","0","0"
"coPapersDBLP","540486","30491458","38.046","49","0","pagerankCuda","4","0","0"
"coPapersDBLP","540486","30491458","38","49","0","pagerankCuda","8","0","0"
"coPapersDBLP","540486","30491458","38.02","49","0","pagerankCuda","16","0","0"
"coPapersDBLP","540486","30491458","38.03","49","0","pagerankCuda","32","0","0"
"coPapersDBLP","540486","30491458","38.031","49","0","pagerankCuda","64","0","0"
"coPapersDBLP","540486","30491458","38.061","49","0","pagerankCuda","128","0","0"
"coPapersDBLP","540486","30491458","38.024","49","0","pagerankCuda","256","0","0"
"indochina-2004","7414866","194109311","123.246","60","0","pagerankCuda","0","0","0"
"indochina-2004","7414866","194109311","127.022","60","4.1074e-9","pagerankCuda","2","21596","10509"
"indochina-2004","7414866","194109311","125.393","60","2.5942e-9","pagerankCuda","4","632","115"
"indochina-2004","7414866","194109311","125.37","60","1.2028e-9","pagerankCuda","8","148","16"
"indochina-2004","7414866","194109311","125.669","60","5.3113e-12","pagerankCuda","16","16","1"
"indochina-2004","7414866","194109311","125.326","60","0","pagerankCuda","32","0","0"
"indochina-2004","7414866","194109311","125.345","60","0","pagerankCuda","64","0","0"
"indochina-2004","7414866","194109311","126.221","60","0","pagerankCuda","128","0","0"
"indochina-2004","7414866","194109311","125.351","60","0","pagerankCuda","256","0","0"
"italy_osm","6686493","14027956","30.108","63","0","pagerankCuda","0","0","0"
"italy_osm","6686493","14027956","32.806","63","0","pagerankCuda","2","0","0"
"italy_osm","6686493","14027956","32.846","63","0","pagerankCuda","4","0","0"
"italy_osm","6686493","14027956","32.829","63","0","pagerankCuda","8","0","0"
"italy_osm","6686493","14027956","33.183","63","0","pagerankCuda","16","0","0"
"italy_osm","6686493","14027956","32.869","63","0","pagerankCuda","32","0","0"
"italy_osm","6686493","14027956","32.818","63","0","pagerankCuda","64","0","0"
"italy_osm","6686493","14027956","32.829","63","0","pagerankCuda","128","0","0"
"italy_osm","6686493","14027956","32.816","63","0","pagerankCuda","256","0","0"
"great-britain_osm","7733822","16313034","39.454","67","0","pagerankCuda","0","0","0"
"great-britain_osm","7733822","16313034","42.87","67","0","pagerankCuda","2","0","0"
"great-britain_osm","7733822","16313034","42.848","67","0","pagerankCuda","4","0","0"
"great-britain_osm","7733822","16313034","43.024","67","0","pagerankCuda","8","0","0"
"great-britain_osm","7733822","16313034","42.882","67","0","pagerankCuda","16","0","0"
"great-britain_osm","7733822","16313034","42.872","67","0","pagerankCuda","32","0","0"
"great-britain_osm","7733822","16313034","42.865","67","0","pagerankCuda","64","0","0"
"great-britain_osm","7733822","16313034","42.893","67","0","pagerankCuda","128","0","0"
"great-britain_osm","7733822","16313034","42.848","67","0","pagerankCuda","256","0","0"
"germany_osm","11548845","24738362","61.964","65","0","pagerankCuda","0","0","0"
"germany_osm","11548845","24738362","66.777","65","0","pagerankCuda","2","0","0"
"germany_osm","11548845","24738362","66.796","65","0","pagerankCuda","4","0","0"
"germany_osm","11548845","24738362","66.772","65","0","pagerankCuda","8","0","0"
"germany_osm","11548845","24738362","66.788","65","0","pagerankCuda","16","0","0"
"germany_osm","11548845","24738362","66.809","65","0","pagerankCuda","32","0","0"
"germany_osm","11548845","24738362","66.922","65","0","pagerankCuda","64","0","0"
"germany_osm","11548845","24738362","66.781","65","0","pagerankCuda","128","0","0"
"germany_osm","11548845","24738362","66.787","65","0","pagerankCuda","256","0","0"
"asia_osm","11950757","25423206","51.524","63","0","pagerankCuda","0","0","0"
"asia_osm","11950757","25423206","56.206","63","0","pagerankCuda","2","0","0"
"asia_osm","11950757","25423206","56.199","63","0","pagerankCuda","4","0","0"
"asia_osm","11950757","25423206","56.2","63","0","pagerankCuda","8","0","0"
"asia_osm","11950757","25423206","56.213","63","0","pagerankCuda","16","0","0"
"asia_osm","11950757","25423206","56.183","63","0","pagerankCuda","32","0","0"
"asia_osm","11950757","25423206","56.175","63","0","pagerankCuda","64","0","0"
"asia_osm","11950757","25423206","56.186","63","0","pagerankCuda","128","0","0"
"asia_osm","11950757","25423206","56.473","63","0","pagerankCuda","256","0","0"
